Station,Code,Lat,Lon,Straat,Huisnummer,Postcode,Plaats,Land
Haarlem,HLM,52.38777924,4.638333321,Stationsplein,11,2011 LR,Haarlem,Netherlands
Haren OV Transferium,HRNOVT,53.170071,6.592202,??,??,9752 EJ,Haren,Netherlands
Hurdegaryp,HDG,53.2187783,5.934543,??,??,9254 HA,Hurdegaryp,Netherlands
Hardenberg,HDB,52.57277679,6.628611088,Parallelweg,6,7772 SB,Hardenberg,Netherlands
Harderwijk,HD,52.33750153,5.619722366,Stationsplein,5-11,3844 KR,Harderwijk,Netherlands
Hardinxveld-Giessendam,GND,51.83055496,4.835833549,Spoorweg,30,3373 AP,Hardinxveld-Giessendam,Netherlands
Harlingen,HLG,53.1704205,5.4251932,??,??,8861 GD,Harlingen,Netherlands
Haren,HRN,53.17610931,6.617222309,Emdaborg,36,9751 SJ,Haren,Netherlands
Harlingen Haven,HLGH,53.174917,5.4112885,Willemskade,3a,8861 XD,Harlingen,Netherlands
Helmond Brouwhuis,HMBH,51.47068,5.70177,??,??,5704 EL,Helmond,Netherlands
Helmond 't Hout,HMH,51.46794,5.63085,??,??,5706 AX,Helmond,Netherlands
Heerenveen IJsstadion,HRY,52.93527603,5.943888664,??,??,8444 AL,Heerenveen,Netherlands
Heemstede-Aerdenhout,HAD,52.35916519,4.606666565,Roemer Visscherplein,10,2106 AG,Heemstede,Netherlands
Den Helder Zuid,HDRZ,52.93249893,4.764166832,??,??,1784,Den Helder,Netherlands
Heerenveen,HR,52.96138763,5.914166451,Beugel,13,8447 AK,Heerenveen,Netherlands
Heerhugowaard,HWD,52.66972351,4.822777748,Stationsplein,49,1703 WD,Heerhugowaard,Netherlands
Heerlen,HRL,50.89083481,5.974999905,Stationsplein,6,6411 NW,Heerlen,Netherlands
Heeze,HZE,51.38499832,5.569444656,??,??,5591 EZ,Heeze,Netherlands
Heiloo,HLO,52.59944534,4.700555325,Stationsweg,8658,1852 AW,Heiloo,Netherlands
Heino,HNO,52.42722321,6.221111298,Stationsweg,34,8141 SL,Heino,Netherlands
Den Helder,HDR,52.95527649,4.761111259,Boerhaavestraat,40,1782 AB,Den Helder,Netherlands
Hengelo Oost,HGLO,52.26889038,6.819444656,??,??,7557 EA,Hengelo,Netherlands
Helmond,HM,51.47555542,5.661944389,??,??,5701 PE,Helmond,Netherlands
Hemmen-Dodewaard,HMN,51.9222129,5.6737254,??,??,6669 MN,Dodewaard,Netherlands
Hengelo,HGL,52.26166534,6.793889046,Stationsplein,321,7551 CN,Hengelo,Netherlands
Heemskerk,HK,52.4952774,4.686944485,??,??,1966 SP,Heemskerk,Netherlands
s-Hertogenbosch,HT,51.69048,5.29362,Stationspasserelle,10,5211 AZ,'s-Hertogenbosch,Netherlands
s-Hertogenbosch Oost,HTO,51.70055389,5.318333149,Zandzuigerstraat,101,5231 XW,'s-Hertogenbosch,Netherlands
Hilversum,HVS,52.22583389,5.18194437,Wilhelminastraat,1,1211 RH,Hilversum,Netherlands
Hindeloopen,HNP,52.9464903,5.423063,??,??,8713,Hindeloopen,Netherlands
Hilversum Media Park,HVSM,52.23805618,5.173888683,??,??,1222 EW,Hilversum,Netherlands
Hoensbroek,HB,50.90555573,5.930555344,??,??,6433 JN,Hoensbroek,Netherlands
Hollandsche Rading,HOR,52.17777634,5.179166794,Vuurse Dreef,20,3739 KT,Hollandsche Rading,Netherlands
Holten,HON,52.28388977,6.420277596,Stationsstraat,10,7451 BH,Holten,Netherlands
Hillegom,HIL,52.30250168,4.565555573,2e Loosterweg,2A,2182 CJ,Hillegom,Netherlands
Hoogeveen,HGV,52.73389053,6.473610878,Stationsplein,1A,7901 AA,Hoogeveen,Netherlands
Hoogezand-Sappemeer,HGZ,53.15981813,6.77075386,??,??,9601 CN,Hoogezand,Netherlands
Hoofddorp,HFD,52.29333496,4.700555325,Bennebroekerweg,800,2134 AB,Hoofddorp,Netherlands
